City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Suarez,CO,73.6,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
6,Buala,SB,79.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
7,Labuhan,ID,78.35,overcast clouds,-6.8844,112.2051,DoubleFAG
8,Kapaa,US,66.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Luanda,AO,80.49,scattered clouds,-8.8368,13.2343,Hotel Fórum
13,Butaritari,KI,81.32,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
18,Muna,MX,68.88,clear sky,20.4833,-89.7167,Hotel Villa Antonia
21,Kavieng,PG,81.27,light rain,-2.5744,150.7967,Nusa Island Retreat
23,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
24,Busselton,AU,66.6,clear sky,-33.65,115.3333,Observatory Guest House
25,Port Alfred,ZA,71.83,overcast clouds,-33.5906,26.891,The Halyards Hotel
26,Cangucu,BR,69.01,overcast clouds,-31.395,-52.6756,Compacto 2D Centro Canela
29,Najran,SA,66.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
34,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
35,Indramayu,ID,81.32,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
40,Rikitea,PF,76.24,clear sky,-23.1203,-134.9692,People ThankYou
41,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Castro,BR,81.95,clear sky,-24.7911,-50.0119,CHACARA BAILLY
45,Dubbo,AU,71.73,clear sky,-32.25,148.6167,Quality Inn Dubbo International
47,Chuy,UY,74.21,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
48,Cape Town,ZA,80.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
51,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Hithadhoo,MV,82.58,overcast clouds,-0.6,73.0833,Scoop Guest House
54,Bredasdorp,ZA,72.72,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
55,Ponta Do Sol,PT,67.12,scattered clouds,32.6667,-17.1,Hotel do Campo
57,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Palu,ID,76.03,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
61,Faanui,PF,80.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Metro,ID,76.01,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
64,Broken Hill,AU,69.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
65,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
66,Poum,NC,80.65,few clouds,-20.2333,164.0167,Gîte kajeon
67,Rawson,AR,74.61,clear sky,-43.3002,-65.1023,Hosteria Sampedro
71,Hilo,US,67.12,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
77,Mar Del Plata,AR,69.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
78,Atuona,PF,77.97,clear sky,-9.8,-139.0333,Villa Enata
83,Constitucion,CL,69.13,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
93,Sechura,PE,75.43,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
97,Saint-Pierre,RE,83.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
99,East London,ZA,70.74,few clouds,-33.0153,27.9116,Tu Casa
101,Richards Bay,ZA,84.79,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
104,Pringsewu,ID,74.37,very heavy rain,-5.3582,104.9744,Urban Style by Front One
105,Cuamba,MZ,78.85,light rain,-14.8031,36.5372,Hotel Vision
110,Samarai,PG,80.55,broken clouds,-10.6167,150.6667,Nuli Sapi
113,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
114,Jieshi,CN,69.94,clear sky,22.8134,115.8257,Yuehai Hotel
115,Hermanus,ZA,78.91,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
117,Bengkulu,ID,77.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
