City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Botwood,CA,49.1499,-55.3482,22.89,73,97,13.11,overcast clouds
1,Iqaluit,CA,63.7506,-68.5145,2.93,84,90,24.0,light snow
2,Ushuaia,AR,-54.8,-68.3,53.22,62,20,28.77,few clouds
3,Lata,PT,40.1629,-8.3327,54.91,95,100,10.31,light rain
4,Suarez,CO,2.954,-76.6964,73.6,83,93,0.96,overcast clouds
5,Pacific Grove,US,36.6177,-121.9166,51.58,94,75,1.01,mist
6,Buala,SB,-8.145,159.5921,79.9,84,88,7.38,light rain
7,Labuhan,ID,-6.8844,112.2051,78.35,76,100,7.96,overcast clouds
8,Kapaa,US,22.0752,-159.319,66.52,78,1,6.91,clear sky
9,Hobart,AU,-42.8794,147.3294,59.25,75,90,9.22,overcast clouds
10,Luanda,AO,-8.8368,13.2343,80.49,71,42,12.1,scattered clouds
11,Longyearbyen,SJ,78.2186,15.6401,6.64,78,75,4.61,light snow
12,Shalya,RU,57.2471,58.7298,-8.57,100,99,2.98,overcast clouds
13,Butaritari,KI,3.0707,172.7902,81.32,74,100,13.73,overcast clouds
14,Arthur,US,39.7148,-88.4723,26.78,78,76,18.99,broken clouds
15,Vila Velha,BR,-20.3297,-40.2925,87.75,64,40,13.0,scattered clouds
16,Fairbanks,US,64.8378,-147.7164,-32.84,71,1,0.0,clear sky
17,Chokurdakh,RU,70.6333,147.9167,-16.04,97,100,5.19,overcast clouds
18,Muna,MX,20.4833,-89.7167,68.88,64,1,4.23,clear sky
19,Geneva,US,41.8875,-88.3054,17.91,81,90,14.0,light snow
20,Oranjemund,NA,-28.55,16.4333,67.98,69,0,20.92,clear sky
21,Kavieng,PG,-2.5744,150.7967,81.27,79,100,9.93,light rain
22,Punta Arenas,CL,-53.15,-70.9167,59.02,54,75,13.8,broken clouds
23,Labuan,MY,5.2767,115.2417,79.16,94,20,2.3,few clouds
24,Busselton,AU,-33.65,115.3333,66.6,82,0,12.44,clear sky
25,Port Alfred,ZA,-33.5906,26.891,71.83,70,97,19.64,overcast clouds
26,Cangucu,BR,-31.395,-52.6756,69.01,62,100,13.51,overcast clouds
27,Chicama,PE,-7.8447,-79.1469,64.94,65,24,7.31,few clouds
28,Juneau,US,58.3019,-134.4197,1.4,66,1,3.44,clear sky
29,Najran,SA,17.4924,44.1277,66.85,50,34,11.27,scattered clouds
30,Ribeira Grande,PT,38.5167,-28.7,64.8,88,20,12.66,few clouds
31,Katsuura,JP,35.1333,140.3,41.18,63,76,10.2,broken clouds
32,Klaksvik,FO,62.2266,-6.589,32.92,57,100,8.34,overcast clouds
33,Mian Channun,PK,30.44,72.3543,52.03,90,18,6.38,few clouds
34,Grand Gaube,MU,-20.0064,57.6608,81.37,73,98,5.99,overcast clouds
35,Indramayu,ID,-6.3264,108.32,81.32,74,100,5.17,overcast clouds
36,La Ronge,CA,55.1001,-105.2842,-28.95,68,90,5.75,overcast clouds
37,Kabo,CF,7.6994,18.629,95.32,15,98,3.78,overcast clouds
38,Henties Bay,NA,-22.116,14.2845,65.86,74,1,13.91,clear sky
39,Pyshma,RU,56.9523,63.2513,-6.29,97,7,6.58,clear sky
40,Rikitea,PF,-23.1203,-134.9692,76.24,69,4,5.73,clear sky
41,Souillac,MU,-20.5167,57.5167,81.36,78,75,9.22,broken clouds
42,Castro,BR,-24.7911,-50.0119,81.95,47,5,11.16,clear sky
43,Northam,GB,51.0333,-4.2167,46.02,61,11,13.76,few clouds
44,Albany,US,42.6001,-73.9662,39.15,72,100,1.99,overcast clouds
45,Dubbo,AU,-32.25,148.6167,71.73,78,2,17.27,clear sky
46,Bethel,US,41.3712,-73.414,36.25,90,90,1.01,light snow
47,Chuy,UY,-33.6971,-53.4616,74.21,45,50,17.09,scattered clouds
48,Cape Town,ZA,-33.9258,18.4232,80.11,60,20,5.01,few clouds
49,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,90,17.27,light snow
50,Quzhou,CN,28.9594,118.8686,51.4,92,100,1.43,overcast clouds
51,Mahebourg,MU,-20.4081,57.7,81.25,78,75,9.22,broken clouds
52,Marseille,FR,43.3333,5.5,47.71,54,4,27.0,clear sky
53,Hithadhoo,MV,-0.6,73.0833,82.58,74,100,7.58,overcast clouds
54,Bredasdorp,ZA,-34.5322,20.0403,72.72,46,37,13.8,scattered clouds
55,Ponta Do Sol,PT,32.6667,-17.1,67.12,51,41,5.23,scattered clouds
56,Dunedin,NZ,-45.8742,170.5036,51.78,78,38,12.93,scattered clouds
57,Puerto Ayora,EC,-0.7393,-90.3518,75.16,80,94,7.76,overcast clouds
58,Iskateley,RU,67.6803,53.1512,-28.5,99,39,7.29,scattered clouds
59,Palu,ID,-0.8917,119.8707,76.03,97,87,1.74,overcast clouds
60,Mataura,NZ,-46.1927,168.8643,53.47,87,99,5.06,overcast clouds
61,Faanui,PF,-16.4833,-151.75,80.08,73,4,1.86,clear sky
62,Tsalka,GE,41.5946,44.0891,24.71,68,25,6.4,scattered clouds
63,Metro,ID,-5.1131,105.3067,76.01,90,80,7.43,moderate rain
64,Broken Hill,AU,-31.95,141.4333,69.51,49,0,20.71,clear sky
65,Vaini,TO,-21.2,-175.2,78.96,94,40,8.05,light rain
66,Poum,NC,-20.2333,164.0167,80.65,78,15,9.1,few clouds
67,Rawson,AR,-43.3002,-65.1023,74.61,32,2,8.41,clear sky
68,Porto Walter,BR,-8.2686,-72.7439,92.25,36,56,5.97,broken clouds
69,Raudeberg,NO,61.9875,5.1352,38.07,57,100,8.99,overcast clouds
70,Thompson,CA,55.7435,-97.8558,-27.24,75,20,2.3,few clouds
71,Hilo,US,19.7297,-155.09,67.12,72,1,5.75,clear sky
72,Peniche,PT,39.3558,-9.3811,62.62,87,100,19.77,overcast clouds
73,Sao Sebastiao,BR,-23.76,-45.4097,85.66,65,100,5.84,overcast clouds
74,Chara,RU,56.9064,118.2631,-9.49,88,54,1.19,broken clouds
75,Port Lincoln,AU,-34.7333,135.8667,61.84,80,97,18.86,overcast clouds
76,Ostrovnoy,RU,68.0531,39.5131,4.1,96,100,20.51,light snow
77,Mar Del Plata,AR,-38.0023,-57.5575,69.82,68,0,11.99,clear sky
78,Atuona,PF,-9.8,-139.0333,77.97,76,7,15.35,clear sky
79,Kaitangata,NZ,-46.2817,169.8464,54.93,75,93,8.5,overcast clouds
80,Mattru,SL,7.6244,-11.8332,97.92,26,4,0.67,clear sky
81,Clyde River,CA,70.4692,-68.5914,-1.97,92,100,28.77,light snow
82,Upernavik,GL,72.7868,-56.1549,2.21,100,100,12.8,overcast clouds
83,Constitucion,CL,-35.3333,-72.4167,69.13,56,0,9.86,clear sky
84,Camacha,PT,33.0833,-16.3333,62.02,59,20,12.66,few clouds
85,Portland,US,45.5234,-122.6762,44.42,95,90,0.0,light rain
86,Slave Lake,CA,55.2834,-114.769,-31.02,68,20,5.75,light snow
87,Shingu,JP,33.7333,135.9833,42.91,58,100,5.1,light rain
88,Ranfurly,NZ,-45.1333,170.1,48.65,95,100,8.03,overcast clouds
89,Agua Branca,BR,-5.8922,-42.6361,85.82,63,38,2.82,scattered clouds
90,Omsukchan,RU,62.5333,155.8,-0.81,100,100,0.16,overcast clouds
91,Hofn,IS,64.2539,-15.2082,24.82,80,90,5.75,overcast clouds
92,San Quintin,MX,30.4833,-115.95,54.61,78,2,1.03,clear sky
93,Sechura,PE,-5.5569,-80.8222,75.43,62,11,7.09,few clouds
94,Nanortalik,GL,60.1432,-45.2371,22.19,83,100,20.8,overcast clouds
95,Kashi,CN,39.4547,75.9797,34.27,54,40,2.24,smoke
96,Nagybajom,HU,46.3923,17.5115,43.36,82,100,12.62,light rain
97,Saint-Pierre,RE,-21.3393,55.4781,83.28,70,0,13.8,clear sky
98,Ahipara,NZ,-35.1667,173.1667,63.75,91,94,8.43,overcast clouds
99,East London,ZA,-33.0153,27.9116,70.74,73,20,21.85,few clouds
100,Jamestown,US,42.097,-79.2353,38.79,43,90,5.99,overcast clouds
101,Richards Bay,ZA,-28.783,32.0377,84.79,73,0,4.23,clear sky
102,Carnarvon,AU,-24.8667,113.6333,86.07,54,2,17.27,clear sky
103,Hamilton,US,39.1834,-84.5333,43.65,68,20,5.01,few clouds
104,Pringsewu,ID,-5.3582,104.9744,74.37,95,57,2.26,very heavy rain
105,Cuamba,MZ,-14.8031,36.5372,78.85,80,100,3.8,light rain
106,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,55,40,11.5,scattered clouds
107,Husavik,IS,66.0449,-17.3389,30.11,72,100,17.27,overcast clouds
108,Inhambane,MZ,-23.865,35.3833,89.58,62,20,9.22,few clouds
109,Saint George,US,37.1041,-113.5841,28.87,93,1,0.0,clear sky
110,Samarai,PG,-10.6167,150.6667,80.55,82,81,8.63,broken clouds
111,Saskylakh,RU,71.9167,114.0833,-26.55,94,99,21.59,overcast clouds
112,Ati,TD,13.2154,18.3353,87.93,17,47,2.04,scattered clouds
113,Avarua,CK,-21.2078,-159.775,75.25,94,20,1.14,few clouds
114,Jieshi,CN,22.8134,115.8257,69.94,83,2,5.88,clear sky
115,Hermanus,ZA,-34.4187,19.2345,78.91,60,34,17.31,scattered clouds
116,New Norfolk,AU,-42.7826,147.0587,58.91,63,100,1.01,overcast clouds
117,Bengkulu,ID,-3.8004,102.2655,77.54,87,99,3.51,overcast clouds
