City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-12-31 22:50:58,-23.1203,-134.9692,77.76,73,19,11.65
1,Cape Town,ZA,2021-12-31 22:51:04,-33.9258,18.4232,63.88,76,20,1.99
2,Whyalla,AU,2021-12-31 22:53:05,-33.0333,137.5833,78.69,41,100,3.44
3,Port-Cartier,CA,2021-12-31 22:53:06,50.0334,-66.8654,28.51,89,76,2.68
4,Qaanaaq,GL,2021-12-31 22:51:01,77.484,-69.3632,-0.92,67,95,6.8
5,Mahebourg,MU,2021-12-31 22:53:06,-20.4081,57.7,75.49,83,75,3.44
6,Ushuaia,AR,2021-12-31 22:48:45,-54.8,-68.3,47.86,53,40,25.32
7,Kapaa,US,2021-12-31 22:53:07,22.0752,-159.319,77.47,73,87,3.0
8,Chuy,UY,2021-12-31 22:50:56,-33.6971,-53.4616,72.39,82,29,14.5
9,Mapastepec,MX,2021-12-31 22:53:08,15.4333,-92.9,82.2,67,31,6.17
10,Busselton,AU,2021-12-31 22:53:08,-33.65,115.3333,61.52,63,29,10.67
11,Marzuq,YE,2021-12-31 22:53:08,14.4,46.4667,61.56,46,84,6.24
12,Khatanga,RU,2021-12-31 22:51:09,71.9667,102.5,-36.26,96,100,3.33
13,Maroua,CM,2021-12-31 22:53:09,10.591,14.3159,71.22,22,38,7.7
14,Mastic Beach,US,2021-12-31 22:53:09,40.7668,-72.8521,50.18,96,90,1.01
15,Hualmay,PE,2021-12-31 22:47:32,-11.0964,-77.6139,71.24,79,79,7.78
16,Mar Del Plata,AR,2021-12-31 22:47:45,-38.0023,-57.5575,73.42,92,0,18.99
17,Merauke,ID,2021-12-31 22:53:10,-8.4667,140.3333,82.11,81,73,6.58
18,Ondarroa,ES,2021-12-31 22:53:10,43.3167,-2.4167,56.43,66,50,10.36
19,Bredasdorp,ZA,2021-12-31 22:53:11,-34.5322,20.0403,59.29,73,80,9.84
20,Nuuk,GL,2021-12-31 22:53:11,64.1835,-51.7216,12.96,92,99,7.14
21,Mataura,NZ,2021-12-31 22:53:12,-46.1927,168.8643,60.48,76,100,3.91
22,Okha,RU,2021-12-31 22:43:43,53.5739,142.9478,0.05,93,100,19.44
23,Butaritari,KI,2021-12-31 22:52:20,3.0707,172.7902,81.05,76,96,7.99
24,Lebu,CL,2021-12-31 22:53:12,-37.6167,-73.65,60.06,80,1,8.72
25,Coquimbo,CL,2021-12-31 22:53:13,-29.9533,-71.3436,65.93,77,20,12.66
26,Bluff,NZ,2021-12-31 22:51:10,-46.6,168.3333,60.8,80,95,6.73
27,Novovelichkovskaya,RU,2021-12-31 22:53:13,45.2778,38.8436,39.34,86,100,6.89
28,Ust-Maya,RU,2021-12-31 22:53:14,60.4167,134.5333,-36.31,100,100,1.14
29,Port Lincoln,AU,2021-12-31 22:45:37,-34.7333,135.8667,80.17,47,98,10.85
30,Amos,CA,2021-12-31 22:53:14,48.5669,-78.1162,28.67,89,100,7.0
31,Puerto Ayora,EC,2021-12-31 22:44:59,-0.7393,-90.3518,76.96,86,80,7.0
32,San Patricio,US,2021-12-31 22:49:06,28.017,-97.5169,90.01,72,0,18.99
33,Stepnyak,KZ,2021-12-31 22:53:15,52.8339,70.7803,0.48,86,38,6.24
34,Kruisfontein,ZA,2021-12-31 22:48:54,-34.0033,24.7314,62.89,90,11,3.91
35,New Norfolk,AU,2021-12-31 22:53:16,-42.7826,147.0587,83.75,35,1,1.01
36,Seymchan,RU,2021-12-31 22:53:16,62.8833,152.4333,-36.85,95,100,2.33
37,Kodiak,US,2021-12-31 22:47:45,57.79,-152.4072,38.71,81,90,11.5
38,Provideniya,RU,2021-12-31 22:45:05,64.3833,-173.3,-6.07,78,6,5.08
39,Zabid,YE,2021-12-31 22:53:17,14.1951,43.3152,77.23,63,97,4.16
40,Atuona,PF,2021-12-31 22:53:17,-9.8,-139.0333,78.19,77,10,15.82
41,Bilma,NE,2021-12-31 22:53:17,18.6853,12.9164,63.1,35,0,11.43
42,Punta Arenas,CL,2021-12-31 22:52:16,-53.15,-70.9167,50.11,46,40,18.41
43,Ribeira Grande,PT,2021-12-31 22:53:18,38.5167,-28.7,57.6,77,40,14.97
44,Chiredzi,ZW,2021-12-31 22:53:18,-21.05,31.6667,72.54,87,100,9.4
45,Mahibadhoo,MV,2021-12-31 22:53:19,3.7833,72.9667,81.05,77,37,8.72
46,Saldanha,ZA,2021-12-31 22:53:19,-33.0117,17.9442,59.05,83,23,6.58
47,Hithadhoo,MV,2021-12-31 22:46:31,-0.6,73.0833,81.19,74,6,8.99
48,Nsanje,MW,2021-12-31 22:54:20,-16.92,35.262,74.68,98,100,2.77
49,Lagoa,PT,2021-12-31 22:54:20,39.05,-27.9833,57.88,74,80,20.87
50,Codrington,AU,2021-12-31 22:54:21,-38.2667,141.9667,73.45,48,99,3.47
51,Vilyuysk,RU,2021-12-31 22:54:21,63.7553,121.6247,-27.54,98,99,3.89
52,Edd,ER,2021-12-31 22:54:22,13.9297,41.6925,78.71,64,50,12.59
53,Kormilovka,RU,2021-12-31 22:54:22,55.0026,74.1028,-4.25,98,49,4.21
54,Vostok,RU,2021-12-31 22:54:22,46.4856,135.8833,-19.75,97,100,3.96
55,Nikolskoye,RU,2021-12-31 22:54:23,59.7035,30.7861,31.87,95,97,6.53
56,Dubbo,AU,2021-12-31 22:54:23,-32.25,148.6167,77.13,61,40,13.8
57,Port Elizabeth,ZA,2021-12-31 22:51:33,-33.918,25.5701,65.1,88,0,11.5
58,Acarau,BR,2021-12-31 22:54:24,-2.8856,-40.12,80.06,81,92,11.74
59,Albany,US,2021-12-31 22:54:24,42.6001,-73.9662,48.22,94,82,1.01
60,Hobart,AU,2021-12-31 22:52:21,-42.8794,147.3294,84.11,52,20,9.22
61,Teya,RU,2021-12-31 22:54:25,60.3778,92.6267,-7.89,97,100,3.87
62,Castro,BR,2021-12-31 22:51:01,-24.7911,-50.0119,61.81,95,35,3.87
63,Nishihara,JP,2021-12-31 22:54:25,26.1842,127.7558,58.28,63,40,6.91
64,Muroto,JP,2021-12-31 22:54:26,33.2833,134.15,32.04,54,37,9.73
65,Westport,US,2021-12-31 22:54:26,41.1415,-73.3579,51.03,94,82,5.01
66,Talnakh,RU,2021-12-31 22:54:27,69.4865,88.3972,-23.8,99,100,3.89
67,Cabo San Lucas,MX,2021-12-31 22:50:20,22.8909,-109.9124,77.05,82,90,7.0
68,Buala,SB,2021-12-31 22:54:27,-8.145,159.5921,83.07,75,100,4.32
69,Vardo,NO,2021-12-31 22:54:28,70.3705,31.1107,31.26,53,100,24.67
70,Tasiilaq,GL,2021-12-31 22:54:28,65.6145,-37.6368,2.57,54,13,4.14
71,San Cristobal,VE,2021-12-31 22:54:28,7.7669,-72.225,73.58,77,99,1.21
72,Soyo,AO,2021-12-31 22:47:45,-6.1349,12.3689,77.95,90,81,8.1
73,Miranda,CO,2021-12-31 22:54:29,3.2499,-76.2281,78.93,93,69,1.19
74,Barrow,US,2021-12-31 22:54:30,71.2906,-156.7887,-21.37,97,58,4.79
75,Buin,CL,2021-12-31 22:54:30,-33.7333,-70.75,86.32,22,3,10.74
76,Komsomolskiy,UZ,2021-12-31 22:54:30,40.4272,71.7189,32.72,59,100,4.61
77,Nsoko,SZ,2021-12-31 22:54:31,-27.0333,31.95,67.26,98,97,1.41
78,Upernavik,GL,2021-12-31 22:54:31,72.7868,-56.1549,6.67,78,100,3.83
79,Geraldton,AU,2021-12-31 22:54:31,-28.7667,114.6,71.13,83,90,9.22
80,Inhambane,MZ,2021-12-31 22:46:28,-23.865,35.3833,76.1,88,47,3.36
81,Bengkulu,ID,2021-12-31 22:54:32,-3.8004,102.2655,74.95,88,100,4.23
82,Angoche,MZ,2021-12-31 22:54:32,-16.2325,39.9086,79.09,83,50,5.44
83,Belmonte,BR,2021-12-31 22:52:13,-15.8631,-38.8828,79.3,86,100,7.74
84,Yellowknife,CA,2021-12-31 22:54:33,62.456,-114.3525,-31.45,67,20,6.91
85,Chicama,PE,2021-12-31 22:45:03,-7.8447,-79.1469,66.74,71,75,8.25
86,Carnarvon,AU,2021-12-31 22:46:23,-24.8667,113.6333,73.47,83,2,13.8
87,Baykit,RU,2021-12-31 22:54:33,61.67,96.37,-22.04,100,97,0.65
88,Thompson,CA,2021-12-31 22:54:34,55.7435,-97.8558,-9.24,70,75,10.36
89,Matagami,CA,2021-12-31 22:54:34,49.7502,-77.6328,24.91,93,90,9.22
90,Mtimbira,TZ,2021-12-31 22:54:35,-8.7833,36.35,75.07,82,78,2.46
91,Paamiut,GL,2021-12-31 22:55:35,61.994,-49.6678,13.23,69,90,8.1
